brand,title,type,price,available,sold,total_amount,genre,lastUpdate,country,state,city
Calvin Klein,ETERNITY for Men by CALVIN KLEIN 3.3 / 3.4 oz EDT New In box,Eau de Toilette,31.08,842.0,1362.0,42330.96,man,21-5-2024,United States,Texas,Dallas
Versace,Versace Eros by Gianni Versace 3.4 oz 100ml EDT Cologne for Men New In Box,Eau de Toilette,35.99,5.0,221.0,7953.79,man,24-5-2024,Canada,New Jersey,Dayton
Carolina Herrera,RASASI DAREEJ 3.4 oz-100 ml Men EDP Spray New & Sealed New sale,Eau de Parfum,25.99,10.0,3.0,77.97,man,19-5-2024,United States,Maryland,Windsor Mill
Ralph Lauren,POLO by Ralph Lauren 4.0 oz Cologne EDT Men GREEN New in Box,Eau de Toilette,38.57,484.0,1503.0,57970.71,man,22-5-2024,United States,Texas,Dallas
Carolina Herrera,CHROME LEGEND by Azzaro cologne for Men EDT 2.6 oz 2.5 New in Box,Eau de Toilette,16.26,12.0,644.0,10471.44,man,20-5-2024,United States,Texas,Dallas
Paco Rabanne,Lattafa Men's Ramz Gold EDP Spray 3.38 oz Fragrances 6291106066715,Fragrances,15.03,3.0,44.0,661.32,man,24-5-2024,United States,New York,Brooklyn
Versace,Versace Man Eau Fraiche by Gianni Versace EDT 0.17oz New in Box,Eau de Toilette,8.32,322.0,417.0,3469.44,man,23-5-2024,United States,Texas,Dallas
Giorgio Armani,Armani Code By Giorgio Armani EDT for Men 4.2 oz / 125 ml Brand New Sealed,Eau de Toilette,37.8,8.0,300.0,11340.0,man,23-5-2024,United States,New Jersey,West Orange
Giorgio Armani,DRAKKAR NOIR by Guy Laroche cologne for men EDT 6.7 / 6.8 oz New in Box,Eau de Toilette,27.59,323.0,4972.0,137177.48,man,17-5-2024,United States,Texas,Dallas
Ralph Lauren,Ralph Lauren Polo Est. 67 Eau De Toilette .34 oz. Travel  Spray New!,Eau de Toilette,26.5,3.0,3.0,79.5,man,22-5-2024,United States,Virginia,Henrico
Dolce & Gabbana,Light Blue Eau Intense / Dolce & Gabbana EDP Spray 1.6 oz (50 ml) (m),Eau de Parfum,35.71,3.0,36.0,1285.56,man,24-5-2024,United States,New York,Brooklyn
Unbranded,SEALED NEW CUPID HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ | MEET MORE HOT WOMEN🔥,Eau de Parfum,15.99,10.0,594.0,9498.06,man,24-5-2024,United States,Texas,Houston
Paco Rabanne,Savage for Men- 3.4 Oz Men's Eau De Parfum. Men's Casual Cologne 100ml,Eau de Parfum,10.99,10.0,179.0,1967.21,man,18-5-2024,United States,Texas,Katy
Giorgio Armani,Armani Code Profumo by Giorgio Armani 3.7 fl oz Parfum Spray Men's New & Sealed.,Eau de Parfum,70.99,2.0,52.0,3691.48,man,23-5-2024,United States,North Carolina,Pfafftown
Giorgio Armani,Elysium Roja by Roja Parfums 3.4 oz Parfum Cologne Spray for Men New In Box,Fragrances,159.99,10.0,30.0,4799.7,man,21-5-2024,Taiwan,New York,New York
Yves Saint Laurent,Arouse-Rx #1 Best Uncented Sex Pheromones For Men That Work 2 Attract Women,Eau de Parfum,39.95,10.0,353.0,14102.35,man,06-5-2024,United States,Connecticut,Orange
Ralph Lauren,Azure Noir Intense Men's 3.4 Oz EDT Spray Long Lasting Perfume,Eau de Toilette,13.66,10.0,552.0,7540.32,man,24-5-2024,United States,Georgia,Hephzibah
Carolina Herrera,Bad Boy by Carolina Herrera 5.1 oz. Eau de Toilette Spray for Men. New. NO Box,Eau de Toilette,54.99,10.0,780.0,42892.2,man,22-5-2024,United States,Texas,Katy
Unbranded,SEALED NEW CUPID 2.0 HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ MEET MORE HOT WOMEN,Eau de Parfum,14.99,10.0,358.0,5366.42,man,24-5-2024,United States,Texas,Houston
Lancôme,Abercrombie & Fitch Fierce 1.7 oz EAU DE COLOGNE MEN BRAND NEW SEALED IN BOX,Eau de Cologne,29.99,9.0,87.0,2609.13,man,23-5-2024,United States,Arizona,Phoenix
Versace,Valentino Uomo Born In Roma Coral Fantasy 3.4fl.oz 100 ml EDT Cologne New In Box,Eau de Toilette,89.99,6.0,23.0,2069.77,man,16-5-2024,Hong Kong,California,El Cajon
Paco Rabanne,A-ventus Eau De Parfum For Men Millesime EDP Cologne New In Box 3.3 Oz /100ML,Eau de Parfum,109.99,3.0,24.0,2639.76,man,23-5-2024,Hong Kong,Hong Kong,"California,United States"
Giorgio Armani,Giorgio Armani Acqua Di Gio 6.7oz / 200ml Men's Eau de Toilette Spray Brand New,Eau de Toilette,59.99,10.0,14.0,839.86,man,21-5-2024,United States,Michigan,Hamtramck
Paco Rabanne,BLEU PARFUM de Blue for Men 3.4oz / 100ml EAU DE Cologne Spray IN BOX,Eau de Parfum,85.0,4.0,42.0,3570.0,man,23-5-2024,United States,New York,Fresh Meadows
Unbranded,PERFUME Cologne for MEN Long Lasting Fragrance 100ML 3.4 Oz Gift Fast PARFUM,Eau de Toilette,13.86,10.0,1146.0,15883.56,man,24-5-2024,United States,Georgia,Cumming
Paco Rabanne,"MOSCHINO Toy Boy Eau De Parfum for Men, 3.4 US fl. oz. / 100 ml",Eau de Parfum,29.99,5.0,17.0,509.83,man,24-5-2024,United States,Michigan,Hamtramck
Dolce & Gabbana,Nautica Voyage Men's EDT 3.4 oz Cologne Spray New in Box,Eau de Toilette,17.99,3.0,324.0,5828.76,man,20-5-2024,United States,Michigan,Detroit
Versace,Valentino Uomo Born In Roma Coral Fantasy 3.4 oz EDT Cologne New In Box,Eau de Toilette,79.99,10.0,316.0,25276.84,man,16-5-2024,Hong Kong,California,Walnut
Carolina Herrera,Sauvage Eau De Parfum  3.4 oz / 100 ml EDP Spray For Men New In Seald Box,Eau de Parfum,69.99,10.0,157.0,10988.43,man,23-5-2024,Hong Kong,New Jersey,Dayton
Versace,Dior Sauvage EDP Men's Fragrance 3.4 Oz New Sealed in Box,Eau de Parfum,84.99,5.0,73.0,6204.27,man,22-5-2024,United States,Michigan,Detroit
Lancôme,Abercrombie & Fitch Fierce 3.4 oz /100ml Eau De Cologne For Men Brand New Sealed,Eau de Cologne,33.95,8.0,464.0,15752.8,man,24-5-2024,United States,Arizona,Phoenix
Ralph Lauren,Polo 67 Ralph Lauren Eau De Toilette .5 oz. New In Box!,Eau de Toilette,24.5,2.0,4.0,98.0,man,22-5-2024,United States,Virginia,Henrico
Paco Rabanne,1 Million Paco Rabanne Men 3.4 oz EDT Spray *FAST SHIPPING*,Eau de Toilette,49.96,6.0,19.0,949.24,man,23-5-2024,United States,Michigan,Warren
