brand,title,type,price,available,sold,total_amount,genre,lastUpdate,country,state,city
Dolce & Gabbana,Dolce & Gabbana Light Blue 3.3 /3.4 oz Women’s Eau de Toilette Spray NEW,Eau de Toilette,27.9,2.0,118.0,3292.2,woman,22-5-2024,United States,Michigan,Warren
Yves Saint Laurent,New Yves Saint Laurent Libre Eau De Parfum EDP Spray for Women 3.0 fl oz/90 ml！,Eau de Parfum,49.99,5.0,15.0,749.85,woman,23-5-2024,United States,Texas,Houston
Carolina Herrera,VIVA LA JUICY GOLD COUTURE by Juicy Couture Women 3.3 / 3.4 oz EDP New in Box,Eau de Parfum,36.79,68.0,1498.0,55111.42,woman,24-5-2024,United States,Texas,Dallas
Carolina Herrera,Daisy Eau So Fresh Perfume by Marc Jacobs 4.2 oz EDT Spray for Women. Sealed Box,Eau de Toilette,39.99,10.0,1129.0,45148.71,woman,24-5-2024,United States,Michigan,Lincoln Park
Carolina Herrera,Carolina Herrera Very Good Girl 2.7 oz Daring Floral EDP New,Eau de Parfum,55.99,6.0,193.0,10806.07,woman,23-5-2024,United States,Michigan,Macomb
Giorgio Armani,My Way by Giorgio Armani 3 oz EDP Perfume for Women New In Box,Eau de Parfum,42.98,10.0,29.0,1246.42,woman,07-5-2024,United States,New York,College Point
Dolce & Gabbana,Jo Malone London Cologne Spray Travel Size 9ml/0.3oz **Choose Your Scent** NEW,Eau de Cologne,15.98,10.0,40.0,639.2,woman,24-5-2024,United States,Texas,Houston
Versace,Elizabeth Arden White Tea Fragrance Collection Set for Women - 3Pc Mini Gift Set,Eau de Parfum,19.45,50.0,2.0,38.9,woman,24-5-2024,United States,New York,Ronkonkoma
Calvin Klein,Narciso Rodriguez for Her 3.3 fl oz / 100 ml EDP New Sealed Free Shipping,Eau de Parfum,31.0,4.0,266.0,8246.0,woman,23-5-2024,United States,New York,Bethpage
Dolce & Gabbana,Urban Outfitters Le Monde  Gourmand Eau De Parfum Fraise Fouettee 070 1oz.,Eau de Parfum,24.99,9.0,9.0,224.91,woman,20-5-2024,United States,Georgia,Kennesaw
Lancôme,Glacier Bold EDP Perfume By Maison Alhambra Lattafa 100 M 💯 (Le Beau Le Perfume,Eau de Parfum,34.0,10.0,45.0,1530.0,woman,18-5-2024,United States,New York,Astoria
Yves Saint Laurent,"ALT Fragrances - Crystal No. 23 EDP (Inspired by Baccarat Rouge 540), 2 oz",Eau de Parfum,49.0,10.0,443.0,21707.0,woman,24-5-2024,United States,California,Van Nuys
Lancôme,"Estee Lauder Cinnabar Eau De Parfum Spray, 1.7 oz / 50 ml Perfume, NWOB",Eau de Parfum,54.99,10.0,17.0,934.83,woman,13-3-2024,United States,Texas,Richmond
Dolce & Gabbana,Victoria's Secret Very Sexy Women's Perfume EDP 3.4 oz 100 ml New Sealed,Eau de Parfum,30.99,10.0,302.0,9358.98,woman,24-5-2024,United States,Kentucky,Flat Lick
Versace,KIM KARDASHIAN GOLD Perfume 3.3 / 3.4 oz EDP For Women NEW IN BOX,Eau de Parfum,16.63,37.0,528.0,8780.64,woman,14-5-2024,United States,Texas,Dallas
Unbranded,Angel Standing Star Thierry Mugler 3.3 oz EDP Refillable Perfume for Women NIB,Eau de Parfum,60.0,10.0,256.0,15360.0,woman,22-5-2024,United States,Michigan,Hamtramck
Paco Rabanne,Flowerbomb by Viktor & Rolf EDP for Women 50 ml - 1.7 oz  *NEW IN SEALED BOX*,Eau de Parfum,42.99,10.0,155.0,6663.45,woman,25-3-2024,United States,Florida,Miami
Ralph Lauren,AMOR AMOR by Cacharel Perfume for women 3.3 oz / 3.4 oz edt New,Eau de Toilette,25.27,106.0,539.0,13620.53,woman,21-5-2024,United States,Texas,Dallas
Dolce & Gabbana,Dolce & Gabbana Light Blue  3.3 oz / 3.4 oz EDT Spray for Women Brand New Sealed,Eau de Toilette,29.9,10.0,327.0,9777.3,woman,24-5-2024,United States,Michigan,Walled Lake
Versace,Versace Bright Crystal Eau De Toilette Spray 6.7 oz Factory Sealed Free Shipping,Eau de Toilette,41.5,3.0,255.0,10582.5,woman,24-5-2024,United States,California,San Jose
Unbranded,"Ariana Grande Cloud Pink - Charming 3.4oz Eau de Parfum, Sealed",Eau de Parfum,29.99,9.0,57.0,1709.43,woman,22-5-2024,United States,Michigan,Dearborn Heights
Carolina Herrera,Daisy Eau So Fresh by Marc Jacobs for Women EDT Spray 4.2 oz / 125 ml New In Box,Eau de Toilette,30.79,3.0,493.0,15179.47,woman,23-5-2024,United States,New York,Jamaica
Yves Saint Laurent,Mon Paris by Yves Saint Laurent 3 fl oz/90 ml EDP Spray for Women New & Sealed,Eau de Parfum,39.99,10.0,66.0,2639.34,woman,21-5-2024,United States,Michigan,Saint Clair Shores
Versace,Valentine Milano For Women Perfume 3.4 fl.oz from Fragrance Couture.,Eau de Parfum,10.99,10.0,94.0,1033.06,woman,08-5-2024,United States,Texas,Katy
Giorgio Armani,New Si by Giorgio Armani 3.4 oz / 100 mL EDP Perfume for Women - USA,Eau de Parfum,37.88,8.0,108.0,4091.04,woman,24-5-2024,United States,New York,College Point
Dolce & Gabbana,Light Blue 3.3 oz by Dolce & Gabbana EDT Perfume for Women New In Box & SEALED,Eau de Toilette,30.95,8.0,245.0,7582.75,woman,24-5-2024,United States,Alabama,Sterrett
Unbranded,ILLICIT FLOWER by Jimmy Choo for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,25.23,8.0,909.0,22934.07,woman,23-5-2024,United States,Texas,Dallas
Dolce & Gabbana,VICTORIA'S SECRET Bombshell Seduction Fine Fragrance Mist 8.4 fl oz - NEW,Fragrances,18.5,6.0,23.0,425.5,woman,21-5-2024,United States,Illinois,Lisle
Versace,SHI by Alfred Sung Perfume for Women EDP 3.3 / 3.4 oz New In Box Sealed,Eau de Parfum,20.45,110.0,4308.0,88098.6,woman,24-5-2024,United States,Texas,Dallas
Versace,VANDERBILT by Gloria 3.4 oz 3.3 edt for Women Perfume  New Box Seal,Eau de Toilette,12.78,149.0,10268.0,131225.04,woman,23-5-2024,United States,Texas,Dallas
Unbranded,Ariana Grande Cloud 2.0 Intense Eau De Parfum - 3.4 Oz  100 mL New & Sealed,Eau de Parfum,33.99,9.0,89.0,3025.11,woman,24-5-2024,United States,Nevada,Las Vegas
Dolce & Gabbana,Dolce & Gabbana Light Blue Women 3.4 fl oz 100 ML Eau de Toilette NEW SEALED BOX,Eau de Toilette,29.99,8.0,187.0,5608.13,woman,24-5-2024,United States,North Carolina,Durham
Versace,Cabotine De Gres by Parfums 3.3 / 3.4 oz EDT Perfume For Women NEW IN BOX,Eau de Toilette,14.75,183.0,1999.0,29485.25,woman,23-5-2024,United States,Texas,Dallas
Unbranded,JIMMY CHOO by Jimmy Choo 3.3 / 3.4 oz Spray EDT for Women NEW IN BOX,Eau de Toilette,33.52,131.0,2846.0,95397.92,woman,21-5-2024,United States,Texas,Dallas
Lancôme,"La Vie Est Belle by Lancome 3.4 Oz – Women's L'eau De Parfum, Sealed Freshness",Eau de Parfum,49.99,5.0,127.0,6348.73,woman,21-5-2024,United States,Michigan,Dearborn
Unbranded,ANGEL Thierry Mugler Eau De parfum Spray Women's 3.4 oz / 100 ml New Sealed Box,Eau de Parfum,44.99,8.0,232.0,10437.68,woman,24-5-2024,United States,Nevada,Las Vegas
Unbranded,Cloud by Ariana Grande 3.4 oz / 100 ML EDP Perfume for Women New In Box Sealed,Eau de Parfum,33.8,8.0,303.0,10241.4,woman,21-5-2024,United States,New Jersey,Sayreville
Paco Rabanne,Fakhar by Lattafa 3.4 oz / 100 ml EDP Spray for Men,Eau de Parfum,22.99,10.0,8.0,183.92,woman,24-5-2024,United States,New York,New York
Paco Rabanne,J'adore 3.4 oz/100 ml Eau De Parfum EDP Women Spray Gift For Her New & Sealed US,Eau de Parfum,49.99,8.0,22.0,1099.78,woman,23-5-2024,Hong Kong,New Jersey,USA
Versace,Forever Elizabeth by Elizabeth Taylor 3.4 oz Spray edp 3.3 Perfume NEW in Box,Eau de Parfum,17.89,71.0,5263.0,94155.07,woman,20-5-2024,United States,Texas,Dallas
Dolce & Gabbana,Brit Sheer by Burberry 3.3 / 3.4 oz EDT Perfume for Women New In Box,Eau de Toilette,35.09,45.0,755.0,26492.95,woman,23-5-2024,United States,Texas,Dallas
Calvin Klein,OBSESSION NIGHT by Calvin Klein Perfume for Women 3.3 / 3.4 oz EDP New in Box,Eau de Parfum,25.57,194.0,472.0,12069.04,woman,24-5-2024,United States,Texas,Dallas
Versace,BRILLIANT White Diamonds Elizabeth Taylor women 3.3 oz 3.4 edt NEW IN BOX,Eau de Toilette,16.44,64.0,315.0,5178.6,woman,24-5-2024,United States,Texas,Dallas
Versace,LA VIDA BELLA POUR FEMME EAU DE PARFUM SPRAY FOR WOMEN 3.4 Oz / 100 ml BRAND NEW,Eau de Parfum,10.99,10.0,29.0,318.71,woman,15-5-2024,United States,Texas,Katy
Versace,Kilian Angels' Share Eau De Parfum Sample Spray Vial 1.5ml / 0.05oz,Eau de Parfum,7.99,10.0,333.0,2660.67,woman,10-4-2024,United States,New York,Flushing
Unbranded,Alien by Thierry Mugler EDP for Women REFILLABLE 1oz / 30ml *NEW SEALED BOX*,Eau de Parfum,43.99,10.0,109.0,4794.91,woman,08-5-2024,United States,Florida,Miami
Giorgio Armani,Al Haramain Amber Oud White Edition EDP 3.4 oz/ 100ml Perfume Tester,Fragrances,36.65,3.0,22.0,806.3,woman,23-5-2024,United States,New York,Brooklyn
Dolce & Gabbana,Dolce & Gabbana Light Blue  3.3 oz / 3.4 oz EDT Spray for Women Brand New Sealed,Eau de Toilette,29.99,10.0,315.0,9446.85,woman,23-5-2024,United States,Ohio,Mogadore
Dolce & Gabbana,Parfums De Marly Delina EDP Official Carded Sample Spray 0.05oz / 1.5ml,Eau de Parfum,12.49,8.0,490.0,6120.1,woman,16-5-2024,United States,California,Rocklin
Dolce & Gabbana,Dolce & Gabbana The One 2.5 oz / 75 ml Eau De Parfum Spray Women's New & Sealed,Eau de Parfum,49.99,2.0,15.0,749.85,woman,24-5-2024,United States,Florida,Dunedin
Versace,Choco Musk Arabian Perfume Spray- 50ml by Al Rehab by Crown perfumes.,Eau de Parfum,9.25,10.0,290.0,2682.5,woman,23-4-2024,United States,New Jersey,Princeton Junction
Ralph Lauren,KAYALI EDEN SPARKLING LYCHEE | 39 Eau de Parfum 0.34 oz SEALED MADE IN FRANCE,Eau de Parfum,42.0,4.0,11.0,462.0,woman,22-5-2024,United States,Tennessee,Nashville
Paco Rabanne,COACH Floral Blush by Coach perfume for women EDP 3 / 3.0 oz New in Box,Eau de Parfum,38.92,141.0,2515.0,97883.8,woman,23-5-2024,United States,Texas,Dallas
Unbranded,Versace Dylan 3.4 oz Eau de Parfum Spray Parfume Fragrances for Women Purple,Eau de Parfum,58.99,10.0,12.0,707.88,woman,22-5-2024,United States,New York,College Point
Versace,VERSACE WOMAN by Gianni Versace Perfume for Women EDP 3.4 oz New in Box SEALED,Eau de Parfum,33.38,76.0,2715.0,90626.7,woman,23-5-2024,United States,Texas,Dallas
Dolce & Gabbana,Light Blue by Dolce & Gabbana 3.3 / 3.4 oz EDT Perfume for Women New In Box,Eau de Toilette,29.65,6.0,821.0,24342.65,woman,23-5-2024,United States,Michigan,Hamtramck
Ralph Lauren,White Shoulders 4.5 oz Perfume for Women Eau de Cologne Spray New In Box,Eau de Cologne,18.63,13.0,3185.0,59336.55,woman,22-5-2024,United States,Texas,Dallas
Lancôme,Beautiful by Estee Lauder 2.5 oz / 75ml EDP Perfume For Women Brand New Sealed!!,Eau de Parfum,28.05,8.0,299.0,8386.95,woman,22-5-2024,United States,Michigan,Grand Rapids
Ralph Lauren,Lake & Skye 11 11 Eau De Parfum 3.4oz  (WITHOUT BOX),Eau de Parfum,99.99,2.0,3.0,299.97,woman,23-5-2024,United States,Illinois,Elgin
Ralph Lauren,Portrait of a Lady By Frederic Malle Eau De Parfum Sample Spray 1.2ml / 0.04oz,Eau de Parfum,12.95,4.0,73.0,945.35,woman,03-5-2024,United States,Texas,Pearland
Ralph Lauren,SEALED DEAL Marilyn Miglin HUGE 3.4 Oz Pherómone Eau de Parfum PHEROMONE,Eau de Parfum,30.0,3.0,4.0,120.0,woman,23-5-2024,United States,Tennessee,Bluff City
Ralph Lauren,Pink Sugar hair perfume by Aquolina for women 3.4 oz EDP New,Eau de Parfum,12.36,417.0,1130.0,13966.8,woman,12-5-2024,United States,Texas,Dallas
Dolce & Gabbana,Gucci Bamboo by Gucci 2.5 oz Eau De Parfum Spray for Women New & Sealed,Eau de Parfum,43.99,2.0,136.0,5982.64,woman,22-5-2024,United States,Alabama,Thomasville
Unbranded,"Angel Perfume by Thierry Mugler, 3.4 oz Refillable EDP BRAND NEW SEALED IN BOX",Eau de Parfum,51.99,3.0,179.0,9306.21,woman,23-5-2024,United States,Michigan,Warren
Dolce & Gabbana,Jo Malone Orange Blossom  Cologne Spray Women's Eau de  - 3.4 fl oz/100ml,Eau de Cologne,79.99,10.0,15.0,1199.85,woman,30-4-2024,United States,Nevada,Las Vegas
Dolce & Gabbana,Gucci Bamboo 2.5oz Women's Eau de Parfum Spray New Sealed,Eau de Parfum,43.69,6.0,18.0,786.42,woman,23-5-2024,United States,Michigan,Dearborn Heights
Ralph Lauren,360 by Perry Ellis Perfume 6.7 oz for Women edt NEW IN BOX,Eau de Toilette,35.39,31.0,2209.0,78176.51,woman,24-5-2024,United States,Texas,Dallas
Giorgio Armani,My Way by Giorgio Armani 3oz 90ml EDP Perfume for Women Spray New In Box,Eau de Parfum,41.99,3.0,7.0,293.93,woman,24-5-2024,United States,New York,Middle Grove
Unbranded,Cloud 2.0 Intense by Ariana Grande 3.4 oz Eau De Parfum Spray New & Sealed,Eau de Parfum,29.49,5.0,45.0,1327.05,woman,24-5-2024,United States,Florida,Clearwater
Carolina Herrera,GOOD GIRL CAROLINA HERRERA 2.7 OZ / 80 ML EDP NEW FACTORY SEALED FREE SHIPPING,Eau de Parfum,41.99,4.0,369.0,15494.31,woman,23-5-2024,United States,California,Chico
Dolce & Gabbana,Club de Nuit by Armaf perfume for women EDP 6.8 oz New in Box,Eau de Parfum,36.59,175.0,931.0,34065.29,woman,24-5-2024,United States,Texas,Dallas
Unbranded,"Ariana Grande Cloud - Dreamy 3.4oz Women's Eau de Parfum, New in Box",Eau de Parfum,33.99,3.0,40.0,1359.6,woman,23-5-2024,United States,Michigan,Dearborn Heights
Giorgio Armani,Giorgio Armani My Way for Women 3 fl.oz Eau de Parfum Spray,Eau de Parfum,49.0,7.0,13.0,637.0,woman,20-5-2024,United States,Virginia,Wytheville
Carolina Herrera,Good Girl BLUSH by Carolina Herrera 2.7 oz.EDP Spray for Women New in Sealed Box,Eau de Parfum,119.99,10.0,141.0,16918.59,woman,20-5-2024,United States,Texas,Katy
Giorgio Armani,"Lattafa Perfumes Mayar EDP - Eau De Parfum Women 100ml(3.4 oz) | Lychee, white f",Eau de Parfum,26.99,6.0,155.0,4183.45,woman,23-5-2024,United States,Texas,Melissa
Yves Saint Laurent,Sung by Alfred Sung for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,15.99,216.0,1107.0,17700.93,woman,24-5-2024,United States,Texas,Dallas
Versace,White Diamonds by Elizabeth Taylor 3.3 3.4 oz EDT Perfume for Women New Tester,Eau de Toilette,19.68,10.0,10259.0,201897.12,woman,24-5-2024,United States,New Jersey,Hackensack
Calvin Klein,Donna karen Cashmere Mist Deodorant 1.7oz,Eau de Parfum,26.99,10.0,69.0,1862.31,woman,21-2-2024,United States,Illinois,Chicago
Versace,Valentino Donna Born In Roma Perfume 3.4oz.EDP Spray for Women New in Sealed Box,Eau de Parfum,109.95,10.0,416.0,45739.2,woman,24-5-2024,United States,Texas,Katy
Dolce & Gabbana,MEOW by KATY PERRY Eau de Parfum 3.4 oz for 3.3 Women NEW IN BOX,Eau de Parfum,23.75,132.0,417.0,9903.75,woman,23-5-2024,United States,Texas,Dallas
Carolina Herrera,Carolina Herrera Good Girl Blush Eau de Parfum 0.24 Oz 7 mL Splash Dabber Travel,Eau de Parfum,18.99,10.0,25.0,474.75,woman,11-4-2024,United States,Maryland,Potomac
Lancôme,Aromatics Elixir by Clinique 3.4 oz/100 ml Perfume Spray for Women,Eau de Parfum,33.0,10.0,232.0,7656.0,woman,23-5-2024,United States,Texas,Katy
Lancôme,Idole by Lancome perfume for women EDP 1.7 oz New 50 ml,Eau de Parfum,36.99,8.0,66.0,2441.34,woman,12-5-2024,United States,Georgia,Villa Rica
Yves Saint Laurent,Yves Saint Laurent Black Opium Women's Perfume EDP 3.0 oz 90 ml Sealed New,Eau de Parfum,54.99,10.0,74.0,4069.26,woman,20-5-2024,United States,Michigan,Okemos
Dolce & Gabbana,Victoria's Secret Heavenly 3.4 fl oz Spray Eau de Parfum Women's New & Sealed,Eau de Parfum,28.99,3.0,43.0,1246.57,woman,23-5-2024,United States,Nevada,Las Vegas
Carolina Herrera,Carolina Herrera Good Girl Women EDP 2.7 oz Spray New Sealed,Eau de Parfum,49.99,6.0,22.0,1099.78,woman,23-5-2024,United States,Michigan,Dexter
Ralph Lauren,Atelier Cologne - Orange Sanguine Cologne Absolue Spray  30ml/1oz,Eau de Parfum,29.9,3.0,6.0,179.4,woman,16-5-2024,United States,Washington,Seattle
Versace,ED HARDY HEARTS & DAGGERS 3.4 / 3.3 oz EDP For Women NEW in BOX,Eau de Parfum,20.42,204.0,3525.0,71980.5,woman,24-5-2024,United States,Texas,Dallas
Calvin Klein,Cashmere Mist by Donna Karan 3.4 oz / 100mL Spray for Women EDP Brand New Sealed,Eau de Parfum,29.99,10.0,223.0,6687.77,woman,24-5-2024,United States,New Jersey,West Orange
Ralph Lauren,PRINCESS by VERA WANG Perfume 3.3 / 3.4 oz EDT For Women NEW in BOX,Eau de Toilette,25.42,107.0,4123.0,104806.66,woman,20-5-2024,United States,Texas,Dallas
Yves Saint Laurent,Yves Saint Laurent Cinema Eau de Parfum Spray for Women 3.0 Oz New,Eau de Parfum,59.99,6.0,29.0,1739.71,woman,24-5-2024,United States,Michigan,Detroit
Carolina Herrera,Marc Jacobs Decadence For Women 3.4 oz 100ml EDP Spray New in Box,Eau de Parfum,62.99,2.0,16.0,1007.84,woman,22-5-2024,Hong Kong,USA,New York
